"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"24",82944,"D#/Eb, F#/Gb, A, C - fulldim7","D, F, G#/Ab, B - fulldim7","viiº7","viiº","Fmaj","Fdom7","Emaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"25",101888,"Adom7","Fdom7","VI7","VI","D, F, G#/Ab, B - fulldim7","Fmaj","Fdom7","Emaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"26",102400,"Amaj","Fmaj","IV","IV","Fdom7","D, F, G#/Ab, B - fulldim7","Fmaj","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"27",103424,"Adom7","Fdom7","VI7","VI","Fmaj","Fdom7","D, F, G#/Ab, B - fulldim7","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"28",110080,"Bmin","Gmin","ii/IV","ii/IV","Fdom7","Fmaj","Fdom7","D, F, G#/Ab, B - fulldim7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"29",117760,"Amin","Fmin","iv","iv","Gmin","Fdom7","Fmaj","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"30",127744,"Adom7","Fdom7","VI7","VI","Fmin","Gmin","Fdom7","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"31",129408,"D#/Ebdim","Bdim","viiº","viiº","Fdom7","Fmin","Gmin","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"32",140288,"Amaj","Fmaj","IV","IV","Bdim","Fdom7","Fmin","Gmin","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"33",142336,"Amaj","Fmaj","IV","IV","Fmaj","Bdim","Fdom7","Fmin","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"34",144896,"Amin","Fmin","iv","iv","Fmaj","Fmaj","Bdim","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"35",146944,"D#/Eb, F#/Gb, A, C - fulldim7","D, F, G#/Ab, B - fulldim7","viiº7","viiº","Fmin","Fmaj","Fmaj","Bdim","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"36",150016,"Adom7","Fdom7","VI7","VI","D, F, G#/Ab, B - fulldim7","Fmin","Fmaj","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"37",154624,"F#/Gbdim","Ddim","iiº","iiº","Fdom7","D, F, G#/Ab, B - fulldim7","Fmin","Fmaj","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"38",1024,"Amaj","Fmaj","IV","IV","Ddim","Fdom7","D, F, G#/Ab, B - fulldim7","Fmin","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"39",3072,"Amaj","Fmaj","IV","IV","Fmaj","Ddim","Fdom7","D, F, G#/Ab, B - fulldim7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"40",46080,"Emin","Cmin","i","i","Fmaj","Fmaj","Ddim","Fdom7","Brahms","String Quintet No.2 in G, Mvt. 2 Adagio","Minor","String Quintet"
"41",1440,"Ddim","Bdim","viiº","viiº",NA,NA,NA,NA,"Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"42",1680,"D#/Ebmaj","Cmaj","I","I","Bdim",NA,NA,NA,"Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"43",8640,"G#/Abmaj","Fmaj","IV","IV","Cmaj","Bdim",NA,NA,"Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"44",8880,"D#/Ebmaj","Cmaj","I","I","Fmaj","Cmaj","Bdim",NA,"Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"45",9360,"G#/Abmaj","Fmaj","IV","IV","Cmaj","Fmaj","Cmaj","Bdim","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"46",10080,"Cmin","Amin","vi","vi","Fmaj","Cmaj","Fmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"47",10320,"A#/Bbdom7","Gdom7","V7","V","Amin","Fmaj","Cmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"48",11040,"Ddim","Bdim","viiº","viiº","Gdom7","Amin","Fmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"49",14640,"Gmin","Emin","iii","iii","Bdim","Gdom7","Amin","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"50",16080,"A#/Bbmaj","Gmaj","V","V","Emin","Bdim","Gdom7","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"51",33000,"D#/Ebmin","Cmin","i","i","Gmaj","Emin","Bdim","Gdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"52",33360,"A#/Bbmin","Gmin","ii/IV","ii/IV","Cmin","Gmaj","Emin","Bdim","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"53",38880,"D#/Ebdom7","Cdom7","V7/IV","V/IV","Gmin","Cmin","Gmaj","Emin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"54",39600,"G#/Abmin","Fmin","iv","iv","Cdom7","Gmin","Cmin","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"55",40320,"A#/Bbmaj","Gmaj","V","V","Fmin","Cdom7","Gmin","Cmin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"56",41280,"D#/Ebmaj","Cmaj","I","I","Gmaj","Fmin","Cdom7","Gmin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"57",42000,"Cmin","Amin","vi","vi","Cmaj","Gmaj","Fmin","Cdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"58",43680,"Gmin","Emin","iii","iii","Amin","Cmaj","Gmaj","Fmin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"59",57120,"A#/Bbmaj","Gmaj","V","V","Emin","Amin","Cmaj","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"60",57840,"D#/Ebdom7","Cdom7","V7/IV","V/IV","Gmaj","Emin","Amin","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"61",58800,"G#/Abmaj","Fmaj","IV","IV","Cdom7","Gmaj","Emin","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"62",59040,"Fmin","Dmin","ii","ii","Fmaj","Cdom7","Gmaj","Emin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"63",59280,"A#/Bbdom7","Gdom7","V7","V","Dmin","Fmaj","Cdom7","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"64",59520,"D#/Ebmaj","Cmaj","I","I","Gdom7","Dmin","Fmaj","Cdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"65",59760,"D#/Ebmaj","Cmaj","I","I","Cmaj","Gdom7","Dmin","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"66",60000,"A#/Bbmaj","Gmaj","V","V","Cmaj","Cmaj","Gdom7","Dmin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"67",61440,"A#/Bbdom7","Gdom7","V7","V","Gmaj","Cmaj","Cmaj","Gdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"68",61920,"G#/Abmaj","Fmaj","IV","IV","Gdom7","Gmaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"69",62160,"A#/Bbmaj","Gmaj","V","V","Fmaj","Gdom7","Gmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"70",62640,"Ddim","Bdim","viiº","viiº","Gmaj","Fmaj","Gdom7","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"71",62880,"D#/Ebmaj","Cmaj","I","I","Bdim","Gmaj","Fmaj","Gdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"72",63600,"D#/Ebmaj","Cmaj","I","I","Cmaj","Bdim","Gmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"73",69840,"G#/Abmaj","Fmaj","IV","IV","Cmaj","Cmaj","Bdim","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"74",70080,"D#/Ebmaj","Cmaj","I","I","Fmaj","Cmaj","Cmaj","Bdim","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"75",70560,"G#/Abmaj","Fmaj","IV","IV","Cmaj","Fmaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"76",70800,"D#/Ebmaj","Cmaj","I","I","Fmaj","Cmaj","Fmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"77",71280,"Cmin","Amin","vi","vi","Cmaj","Fmaj","Cmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"78",71520,"A#/Bbdom7","Gdom7","V7","V","Amin","Cmaj","Fmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"79",72240,"Ddim","Bdim","viiº","viiº","Gdom7","Amin","Cmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"80",72720,"D#/Ebmaj","Cmaj","I","I","Bdim","Gdom7","Amin","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"81",75840,"Cmin","Amin","vi","vi","Cmaj","Bdim","Gdom7","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"82",77280,"D#/Ebmaj","Cmaj","I","I","Amin","Cmaj","Bdim","Gdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"83",83280,"D#/Ebmaj","Cmaj","I","I","Cmaj","Amin","Cmaj","Bdim","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"84",83400,"D#/Ebmaj","Cmaj","I","I","Cmaj","Cmaj","Amin","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"85",84000,"Gmaj","Emaj","III","III","Cmaj","Cmaj","Cmaj","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"86",84120,"Gmaj","Emaj","III","III","Emaj","Cmaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"87",84840,"Cmin","Amin","vi","vi","Emaj","Emaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"88",85560,"D#/Ebmaj","Cmaj","I","I","Amin","Emaj","Emaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"89",86040,"G#/Abmaj","Fmaj","IV","IV","Cmaj","Amin","Emaj","Emaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"90",86160,"G#/Abmaj","Fmaj","IV","IV","Fmaj","Cmaj","Amin","Emaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"91",86400,"D#/Ebmaj","Cmaj","I","I","Fmaj","Fmaj","Cmaj","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"92",86520,"D#/Ebmaj","Cmaj","I","I","Cmaj","Fmaj","Fmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"93",87360,"A#/Bbmaj","Gmaj","V","V","Cmaj","Cmaj","Fmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"94",87840,"D#/Ebmaj","Cmaj","I","I","Gmaj","Cmaj","Cmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"95",88080,"A#/Bbmaj","Gmaj","V","V","Cmaj","Gmaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"96",88320,"D#/Ebmaj","Cmaj","I","I","Gmaj","Cmaj","Gmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"97",88800,"D#/Ebmaj","Cmaj","I","I","Cmaj","Gmaj","Cmaj","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"98",93600,"Cmin","Amin","vi","vi","Cmaj","Cmaj","Gmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"99",93840,"Cmin","Amin","vi","vi","Amin","Cmaj","Cmaj","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"100",94080,"Cmin","Amin","vi","vi","Amin","Amin","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"101",94320,"G#/Abmaj","Fmaj","IV","IV","Amin","Amin","Amin","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"102",94560,"D#/Ebmaj","Cmaj","I","I","Fmaj","Amin","Amin","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"103",100800,"Cmaj","Amaj","VI","VI","Cmaj","Fmaj","Amin","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"104",101040,"Fdom7","Ddom7","V7/V","V/V","Amaj","Cmaj","Fmaj","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"105",101520,"A#/Bbmaj","Gmaj","V","V","Ddom7","Amaj","Cmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"106",102000,"D#/Ebdom7","Cdom7","V7/IV","V/IV","Gmaj","Ddom7","Amaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"107",102480,"G#/Abmaj","Fmaj","IV","IV","Cdom7","Gmaj","Ddom7","Amaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"108",109680,"A#/Bbdom7","Gdom7","V7","V","Fmaj","Cdom7","Gmaj","Ddom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"109",111120,"D#/Ebmaj","Cmaj","I","I","Gdom7","Fmaj","Cdom7","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"110",118320,"A#/Bbmaj","Gmaj","V","V","Cmaj","Gdom7","Fmaj","Cdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"111",119760,"Gmin","Emin","iii","iii","Gmaj","Cmaj","Gdom7","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"112",120240,"Gmin","Emin","iii","iii","Emin","Gmaj","Cmaj","Gdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"113",120720,"D#/Ebdom7","Cdom7","V7/IV","V/IV","Emin","Emin","Gmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"114",121200,"G#/Abmaj","Fmaj","IV","IV","Cdom7","Emin","Emin","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"115",121920,"D#/Ebmaj","Cmaj","I","I","Fmaj","Cdom7","Emin","Emin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"116",122400,"D#/Ebmaj","Cmaj","I","I","Cmaj","Fmaj","Cdom7","Emin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"117",122640,"Fmin","Dmin","ii","ii","Cmaj","Cmaj","Fmaj","Cdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"118",123120,"Fmin","Dmin","ii","ii","Dmin","Cmaj","Cmaj","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"119",123840,"A#/Bbdom7","Gdom7","V7","V","Dmin","Dmin","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"120",124080,"D#/Ebmaj","Cmaj","I","I","Gdom7","Dmin","Dmin","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"121",124800,"D#/Ebmaj","Cmaj","I","I","Cmaj","Gdom7","Dmin","Dmin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"122",125520,"D#/Ebmaj","Cmaj","I","I","Cmaj","Cmaj","Gdom7","Dmin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"123",126240,"D#/Ebmaj","Cmaj","I","I","Cmaj","Cmaj","Cmaj","Gdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"124",126960,"D#/Ebmaj","Cmaj","I","I","Cmaj","Cmaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"125",44880,"Gmin","Emin","iii","iii","Cmaj","Cmaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"126",45120,"Gmin","Emin","iii","iii","Emin","Cmaj","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"127",56880,"Fmaj","Dmaj","V/V","V/V","Emin","Emin","Cmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"128",72960,"Cdom7","Adom7","V7/ii","V/ii","Dmaj","Emin","Emin","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"129",81600,"A#/Bbmaj","Gmaj","V","V","Adom7","Dmaj","Emin","Emin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"130",82080,"D#/Ebmaj","Cmaj","I","I","Gmaj","Adom7","Dmaj","Emin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"131",82320,"A#/Bbmaj","Gmaj","V","V","Cmaj","Gmaj","Adom7","Dmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"132",82560,"D#/Ebmaj","Cmaj","I","I","Gmaj","Cmaj","Gmaj","Adom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"133",82800,"A#/Bbdom7","Gdom7","V7","V","Cmaj","Gmaj","Cmaj","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"134",83040,"D#/Ebmaj","Cmaj","I","I","Gdom7","Cmaj","Gmaj","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"135",84480,"Cmin","Amin","vi","vi","Cmaj","Gdom7","Cmaj","Gmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"136",85920,"G#/Abmaj","Fmaj","IV","IV","Amin","Cmaj","Gdom7","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"137",93120,"Cmin","Amin","vi","vi","Fmaj","Amin","Cmaj","Gdom7","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"138",93360,"Cmin","Amin","vi","vi","Amin","Fmaj","Amin","Cmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"139",99360,"Gmaj","Emaj","III","III","Amin","Amin","Fmaj","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"140",99600,"Cdom7","Adom7","V7/ii","V/ii","Emaj","Amin","Amin","Fmaj","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
"141",100080,"Fmin","Dmin","ii","ii","Adom7","Emaj","Amin","Amin","Brahms","Ein deutsches Requiem, 4.Chorus: Wie lieblich sind deine Wohnungen","Major","Choral"
